날짜,종가,전일비,시가,고가,저가,거래량
2020.04.02,13400.0,1900.0,12150.0,14150.0,12050.0,9858349.0
2020.04.01,11500.0,350.0,11650.0,12250.0,11500.0,1078826.0
2020.03.31,11850.0,150.0,12100.0,12150.0,11600.0,923864.0
2020.03.30,11700.0,0.0,11350.0,11850.0,11100.0,886048.0
2020.03.27,11700.0,50.0,12250.0,12350.0,11450.0,1148588.0
2020.03.26,11750.0,50.0,11800.0,12200.0,11500.0,1270594.0
2020.03.25,11700.0,550.0,11600.0,11800.0,11150.0,1693852.0
2020.03.24,11150.0,1150.0,10400.0,11150.0,10200.0,1313904.0
2020.03.23,10000.0,800.0,10150.0,10400.0,9740.0,1347507.0
2020.03.20,10800.0,650.0,10400.0,10950.0,10250.0,1608509.0
